,heat,speed,ra,rl,rv,y_fb,x_fb
59,1200,1.1,25,15,18,0,3.662763
60,1200,1.1,25,18,12,-1,0
61,1200,1.1,25,18,12,-0.947368421,1.770000964
62,1200,1.1,25,18,12,-0.894736842,2.375821071
63,1200,1.1,25,18,12,-0.842105263,2.775052572
64,1200,1.1,25,18,12,-0.789473684,3.07407211
65,1200,1.1,25,18,12,-0.736842105,3.303484451
66,1200,1.1,25,18,12,-0.684210526,3.486682467
67,1200,1.1,25,18,12,-0.631578947,3.631961878
68,1200,1.1,25,18,12,-0.578947368,3.745787071
69,1200,1.1,25,18,12,-0.526315789,3.834248582
70,1200,1.1,25,18,12,-0.473684211,3.898393671
71,1200,1.1,25,18,12,-0.421052632,3.940948361
72,1200,1.1,25,18,12,-0.368421053,3.963371768
73,1200,1.1,25,18,12,-0.315789474,3.969665126
74,1200,1.1,25,18,12,-0.263157895,3.961456641
75,1200,1.1,25,18,12,-0.210526316,3.938149379
76,1200,1.1,25,18,12,-0.157894737,3.904214047
77,1200,1.1,25,18,12,-0.105263158,3.850283482
78,1200,1.1,25,18,12,-0.052631579,3.790796084
79,1200,1.1,25,18,12,0,3.7540119
80,1200,1.1,25,18,15,-1,0
81,1200,1.1,25,18,15,-0.947368421,1.782582618
82,1200,1.1,25,18,15,-0.894736842,2.362663204
83,1200,1.1,25,18,15,-0.842105263,2.73815907
84,1200,1.1,25,18,15,-0.789473684,3.015840371
85,1200,1.1,25,18,15,-0.736842105,3.23159841
86,1200,1.1,25,18,15,-0.684210526,3.401889768
87,1200,1.1,25,18,15,-0.631578947,3.536393879
88,1200,1.1,25,18,15,-0.578947368,3.642865762
89,1200,1.1,25,18,15,-0.526315789,3.726267093
90,1200,1.1,25,18,15,-0.473684211,3.789733735
91,1200,1.1,25,18,15,-0.421052632,3.827853952
92,1200,1.1,25,18,15,-0.368421053,3.851834988
93,1200,1.1,25,18,15,-0.315789474,3.862187407
94,1200,1.1,25,18,15,-0.263157895,3.858852885
95,1200,1.1,25,18,15,-0.210526316,3.845475466
96,1200,1.1,25,18,15,-0.157894737,3.81743379
97,1200,1.1,25,18,15,-0.105263158,3.769794699
98,1200,1.1,25,18,15,-0.052631579,3.732344974
99,1200,1.1,25,18,15,0,3.699089
100,1200,1.1,25,18,18,-1,0
101,1200,1.1,25,18,18,-0.947368421,1.759967851
102,1200,1.1,25,18,18,-0.894736842,2.311951162
103,1200,1.1,25,18,18,-0.842105263,2.666041471
104,1200,1.1,25,18,18,-0.789473684,2.932150721
105,1200,1.1,25,18,18,-0.736842105,3.132158609
106,1200,1.1,25,18,18,-0.684210526,3.293224564
107,1200,1.1,25,18,18,-0.631578947,3.421225457
108,1200,1.1,25,18,18,-0.578947368,3.522562596
109,1200,1.1,25,18,18,-0.526315789,3.601873255
110,1200,1.1,25,18,18,-0.473684211,3.661908522
111,1200,1.1,25,18,18,-0.421052632,3.703397238
112,1200,1.1,25,18,18,-0.368421053,3.729886448
113,1200,1.1,25,18,18,-0.315789474,3.743738915
114,1200,1.1,25,18,18,-0.263157895,3.746405448
115,1200,1.1,25,18,18,-0.210526316,3.737385464
116,1200,1.1,25,18,18,-0.157894737,3.71403762
117,1200,1.1,25,18,18,-0.105263158,3.684082742
118,1200,1.1,25,18,18,-0.052631579,3.65470698
119,1200,1.1,25,18,18,0,3.6312057
120,1200,1.1,25,21,12,-1,0
121,1200,1.1,25,21,12,-0.947368421,1.650291285
122,1200,1.1,25,21,12,-0.894736842,2.24715636
123,1200,1.1,25,21,12,-0.842105263,2.6547745
124,1200,1.1,25,21,12,-0.789473684,2.965339191
125,1200,1.1,25,21,12,-0.736842105,3.208717598
126,1200,1.1,25,21,12,-0.684210526,3.401088512
127,1200,1.1,25,21,12,-0.631578947,3.556157726
128,1200,1.1,25,21,12,-0.578947368,3.678303208
129,1200,1.1,25,21,12,-0.526315789,3.773993064
130,1200,1.1,25,21,12,-0.473684211,3.844792443
131,1200,1.1,25,21,12,-0.421052632,3.892114985
132,1200,1.1,25,21,12,-0.368421053,3.918043884
133,1200,1.1,25,21,12,-0.315789474,3.927261635
134,1200,1.1,25,21,12,-0.263157895,3.921162011
135,1200,1.1,25,21,12,-0.210526316,3.901500779
136,1200,1.1,25,21,12,-0.157894737,3.867921752
137,1200,1.1,25,21,12,-0.105263158,3.813675283
138,1200,1.1,25,21,12,-0.052631579,3.765442744
139,1200,1.1,25,21,12,0,3.7299469
140,1200,1.1,25,21,15,-1,0
141,1200,1.1,25,21,15,-0.947368421,1.64640969
142,1200,1.1,25,21,15,-0.894736842,2.223882014
143,1200,1.1,25,21,15,-0.842105263,2.607064148
144,1200,1.1,25,21,15,-0.789473684,2.899780912
145,1200,1.1,25,21,15,-0.736842105,3.123616786
146,1200,1.1,25,21,15,-0.684210526,3.306108896
147,1200,1.1,25,21,15,-0.631578947,3.451650205
148,1200,1.1,25,21,15,-0.578947368,3.565856074
149,1200,1.1,25,21,15,-0.526315789,3.655694629
150,1200,1.1,25,21,15,-0.473684211,3.723493052
151,1200,1.1,25,21,15,-0.421052632,3.767745545
152,1200,1.1,25,21,15,-0.368421053,3.796097487
153,1200,1.1,25,21,15,-0.315789474,3.809676154
154,1200,1.1,25,21,15,-0.263157895,3.810770298
155,1200,1.1,25,21,15,-0.210526316,3.799312997
156,1200,1.1,25,21,15,-0.157894737,3.772673796
157,1200,1.1,25,21,15,-0.105263158,3.732812711
158,1200,1.1,25,21,15,-0.052631579,3.700364738
159,1200,1.1,25,21,15,0,3.6698205
160,1200,1.1,25,21,18,-1,0
161,1200,1.1,25,21,18,-0.947368421,1.611786796
162,1200,1.1,25,21,18,-0.894736842,2.165099265
163,1200,1.1,25,21,18,-0.842105263,2.530677152
164,1200,1.1,25,21,18,-0.789473684,2.803786382
165,1200,1.1,25,21,18,-0.736842105,3.017233451
166,1200,1.1,25,21,18,-0.684210526,3.185964205
167,1200,1.1,25,21,18,-0.631578947,3.322754466
168,1200,1.1,25,21,18,-0.578947368,3.431986543
169,1200,1.1,25,21,18,-0.526315789,3.517879049
170,1200,1.1,25,21,18,-0.473684211,3.584055074
171,1200,1.1,25,21,18,-0.421052632,3.631514391
172,1200,1.1,25,21,18,-0.368421053,3.662833834
173,1200,1.1,25,21,18,-0.315789474,3.681284648
174,1200,1.1,25,21,18,-0.263157895,3.687097564
175,1200,1.1,25,21,18,-0.210526316,3.680584165
176,1200,1.1,25,21,18,-0.157894737,3.661074271
177,1200,1.1,25,21,18,-0.105263158,3.637389588
178,1200,1.1,25,21,18,-0.052631579,3.612974359
179,1200,1.1,25,21,18,0,3.5922073
180,1200,1.1,28,15,12,-1,0
181,1200,1.1,28,15,12,-0.947368421,1.872759717
182,1200,1.1,28,15,12,-0.894736842,2.452966619
183,1200,1.1,28,15,12,-0.842105263,2.828474715
184,1200,1.1,28,15,12,-0.789473684,3.100622493
185,1200,1.1,28,15,12,-0.736842105,3.307397946
186,1200,1.1,28,15,12,-0.684210526,3.470682696
187,1200,1.1,28,15,12,-0.631578947,3.59759601
188,1200,1.1,28,15,12,-0.578947368,3.696244819
189,1200,1.1,28,15,12,-0.526315789,3.772233709
190,1200,1.1,28,15,12,-0.473684211,3.825582734
191,1200,1.1,28,15,12,-0.421052632,3.860008577
192,1200,1.1,28,15,12,-0.368421053,3.878905988
193,1200,1.1,28,15,12,-0.315789474,3.881907416
194,1200,1.1,28,15,12,-0.263157895,3.87206224
195,1200,1.1,28,15,12,-0.210526316,3.853268539
196,1200,1.1,28,15,12,-0.157894737,3.820383545
197,1200,1.1,28,15,12,-0.105263158,3.772842257
198,1200,1.1,28,15,12,-0.052631579,3.734653616
199,1200,1.1,28,15,12,0,3.7018229
200,1200,1.1,28,15,15,-1,0
201,1200,1.1,28,15,15,-0.947368421,1.884647596
202,1200,1.1,28,15,15,-0.894736842,2.43706813
203,1200,1.1,28,15,15,-0.842105263,2.785131757
204,1200,1.1,28,15,15,-0.789473684,3.040596548
205,1200,1.1,28,15,15,-0.736842105,3.230896829
206,1200,1.1,28,15,15,-0.684210526,3.381101015
207,1200,1.1,28,15,15,-0.631578947,3.499609052
208,1200,1.1,28,15,15,-0.578947368,3.592972754
209,1200,1.1,28,15,15,-0.526315789,3.665657046
210,1200,1.1,28,15,15,-0.473684211,3.719475961
211,1200,1.1,28,15,15,-0.421052632,3.752007937
212,1200,1.1,28,15,15,-0.368421053,3.77123187
213,1200,1.1,28,15,15,-0.315789474,3.778540904
214,1200,1.1,28,15,15,-0.263157895,3.776555764
215,1200,1.1,28,15,15,-0.210526316,3.763145004
216,1200,1.1,28,15,15,-0.157894737,3.736560538
217,1200,1.1,28,15,15,-0.105263158,3.703610688
218,1200,1.1,28,15,15,-0.052631579,3.673461098
219,1200,1.1,28,15,15,0,3.6475024
220,1200,1.1,28,15,18,-1,0
221,1200,1.1,28,15,18,-0.947368421,1.855675515
222,1200,1.1,28,15,18,-0.894736842,2.385017215
223,1200,1.1,28,15,18,-0.842105263,2.713131882
224,1200,1.1,28,15,18,-0.789473684,2.949176254
225,1200,1.1,28,15,18,-0.736842105,3.131357659
226,1200,1.1,28,15,18,-0.684210526,3.276195755
227,1200,1.1,28,15,18,-0.631578947,3.388585625
228,1200,1.1,28,15,18,-0.578947368,3.476366841
229,1200,1.1,28,15,18,-0.526315789,3.544239673
230,1200,1.1,28,15,18,-0.473684211,3.595572116
231,1200,1.1,28,15,18,-0.421052632,3.63056322
232,1200,1.1,28,15,18,-0.368421053,3.653051019
233,1200,1.1,28,15,18,-0.315789474,3.664906349
234,1200,1.1,28,15,18,-0.263157895,3.666588932
235,1200,1.1,28,15,18,-0.210526316,3.657651121
236,1200,1.1,28,15,18,-0.157894737,3.638474533
237,1200,1.1,28,15,18,-0.105263158,3.615940355
238,1200,1.1,28,15,18,-0.052631579,3.59416958
239,1200,1.1,28,15,18,0,3.5741674
240,1200,1.1,28,18,12,-1,0
241,1200,1.1,28,18,12,-0.947368421,1.723817457
242,1200,1.1,28,18,12,-0.894736842,2.311611394
243,1200,1.1,28,18,12,-0.842105263,2.694672057
244,1200,1.1,28,18,12,-0.789473684,2.983800745
245,1200,1.1,28,18,12,-0.736842105,3.202963399
246,1200,1.1,28,18,12,-0.684210526,3.378242784
247,1200,1.1,28,18,12,-0.631578947,3.51675804
248,1200,1.1,28,18,12,-0.578947368,3.625056052
249,1200,1.1,28,18,12,-0.526315789,3.709247439
250,1200,1.1,28,18,12,-0.473684211,3.770096871
251,1200,1.1,28,18,12,-0.421052632,3.809823629
252,1200,1.1,28,18,12,-0.368421053,3.831881633
253,1200,1.1,28,18,12,-0.315789474,3.83790849
254,1200,1.1,28,18,12,-0.263157895,3.832010894
255,1200,1.1,28,18,12,-0.210526316,3.814598934
256,1200,1.1,28,18,12,-0.157894737,3.782526219
257,1200,1.1,28,18,12,-0.105263158,3.74139708
258,1200,1.1,28,18,12,-0.052631579,3.707921193
259,1200,1.1,28,18,12,0,3.6762296
260,1200,1.1,28,18,15,-1,0
261,1200,1.1,28,18,15,-0.947368421,1.71747513
262,1200,1.1,28,18,15,-0.894736842,2.280030782
263,1200,1.1,28,18,15,-0.842105263,2.641980419
264,1200,1.1,28,18,15,-0.789473684,2.909850357
265,1200,1.1,28,18,15,-0.736842105,3.117470842
266,1200,1.1,28,18,15,-0.684210526,3.281097853
267,1200,1.1,28,18,15,-0.631578947,3.41009819
268,1200,1.1,28,18,15,-0.578947368,3.511993215
269,1200,1.1,28,18,15,-0.526315789,3.591582271
270,1200,1.1,28,18,15,-0.473684211,3.651781385
271,1200,1.1,28,18,15,-0.421052632,3.689475936
272,1200,1.1,28,18,15,-0.368421053,3.713234709
273,1200,1.1,28,18,15,-0.315789474,3.725560377
274,1200,1.1,28,18,15,-0.263157895,3.726097968
275,1200,1.1,28,18,15,-0.210526316,3.714691978
276,1200,1.1,28,18,15,-0.157894737,3.692386778
277,1200,1.1,28,18,15,-0.105263158,3.66466019
278,1200,1.1,28,18,15,-0.052631579,3.637104425
279,1200,1.1,28,18,15,0,3.6159549
280,1200,1.1,28,18,18,-1,0
281,1200,1.1,28,18,18,-0.947368421,1.678185043
282,1200,1.1,28,18,18,-0.894736842,2.214357939
283,1200,1.1,28,18,18,-0.842105263,2.556207593
284,1200,1.1,28,18,18,-0.789473684,2.813074546
285,1200,1.1,28,18,18,-0.736842105,3.005561198
286,1200,1.1,28,18,18,-0.684210526,3.160227389
287,1200,1.1,28,18,18,-0.631578947,3.28321713
288,1200,1.1,28,18,18,-0.578947368,3.380342844
289,1200,1.1,28,18,18,-0.526315789,3.456319328
290,1200,1.1,28,18,18,-0.473684211,3.514465673
291,1200,1.1,28,18,18,-0.421052632,3.555838649
292,1200,1.1,28,18,18,-0.368421053,3.583656214
293,1200,1.1,28,18,18,-0.315789474,3.599939069
294,1200,1.1,28,18,18,-0.263157895,3.604765219
295,1200,1.1,28,18,18,-0.210526316,3.594576941
296,1200,1.1,28,18,18,-0.157894737,3.582727228
297,1200,1.1,28,18,18,-0.105263158,3.565079452
298,1200,1.1,28,18,18,-0.052631579,3.547349265
299,1200,1.1,28,18,18,0,3.5315924
300,1200,1.1,28,21,12,-1,0
301,1200,1.1,28,21,12,-0.947368421,1.605956091
302,1200,1.1,28,21,12,-0.894736842,2.17862983
303,1200,1.1,28,21,12,-0.842105263,2.57230434
304,1200,1.1,28,21,12,-0.789473684,2.869462817
305,1200,1.1,28,21,12,-0.736842105,3.1018055
306,1200,1.1,28,21,12,-0.684210526,3.285335123
307,1200,1.1,28,21,12,-0.631578947,3.433165254
308,1200,1.1,28,21,12,-0.578947368,3.549359414
309,1200,1.1,28,21,12,-0.526315789,3.640183867
310,1200,1.1,28,21,12,-0.473684211,3.707716107
311,1200,1.1,28,21,12,-0.421052632,3.752920155
312,1200,1.1,28,21,12,-0.368421053,3.777958302
313,1200,1.1,28,21,12,-0.315789474,3.787445916
314,1200,1.1,28,21,12,-0.263157895,3.785441288
315,1200,1.1,28,21,12,-0.210526316,3.770051493
316,1200,1.1,28,21,12,-0.157894737,3.739317368
317,1200,1.1,28,21,12,-0.105263158,3.705847175
318,1200,1.1,28,21,12,-0.052631579,3.675028621
319,1200,1.1,28,21,12,0,3.6482668
320,1200,1.1,28,21,15,-1,0
321,1200,1.1,28,21,15,-0.947368421,1.582148942
322,1200,1.1,28,21,15,-0.894736842,2.13728857
323,1200,1.1,28,21,15,-0.842105263,2.507258556
324,1200,1.1,28,21,15,-0.789473684,2.788412903
325,1200,1.1,28,21,15,-0.736842105,3.002520834
326,1200,1.1,28,21,15,-0.684210526,3.176683821
327,1200,1.1,28,21,15,-0.631578947,3.316220242
328,1200,1.1,28,21,15,-0.578947368,3.425563636
329,1200,1.1,28,21,15,-0.526315789,3.510621096
330,1200,1.1,28,21,15,-0.473684211,3.575552524
331,1200,1.1,28,21,15,-0.421052632,3.619460694
332,1200,1.1,28,21,15,-0.368421053,3.648786084
333,1200,1.1,28,21,15,-0.315789474,3.664846648
334,1200,1.1,28,21,15,-0.263157895,3.668457323
335,1200,1.1,28,21,15,-0.210526316,3.659729472
336,1200,1.1,28,21,15,-0.157894737,3.640914071
337,1200,1.1,28,21,15,-0.105263158,3.618846455
338,1200,1.1,28,21,15,-0.052631579,3.596760189
339,1200,1.1,28,21,15,0,3.5766507
340,1200,1.1,28,21,18,-1,0
341,1200,1.1,28,21,18,-0.947368421,1.531732522
342,1200,1.1,28,21,18,-0.894736842,2.063134411
343,1200,1.1,28,21,18,-0.842105263,2.417591373
344,1200,1.1,28,21,18,-0.789473684,2.679044554
345,1200,1.1,28,21,18,-0.736842105,2.884066342
346,1200,1.1,28,21,18,-0.684210526,3.045165543
347,1200,1.1,28,21,18,-0.631578947,3.176215915
348,1200,1.1,28,21,18,-0.578947368,3.281088612
349,1200,1.1,28,21,18,-0.526315789,3.363364588
350,1200,1.1,28,21,18,-0.473684211,3.426724055
351,1200,1.1,28,21,18,-0.421052632,3.474006071
352,1200,1.1,28,21,18,-0.368421053,3.507422291
353,1200,1.1,28,21,18,-0.315789474,3.527760712
354,1200,1.1,28,21,18,-0.263157895,3.532180057
355,1200,1.1,28,21,18,-0.210526316,3.524916163
356,1200,1.1,28,21,18,-0.157894737,3.519330102
357,1200,1.1,28,21,18,-0.105263158,3.507735531
358,1200,1.1,28,21,18,-0.052631579,3.493313065
359,1200,1.1,28,21,18,0,3.4850955
360,1200,1.1,31,15,12,-1,0
361,1200,1.1,31,15,12,-0.947368421,1.832146048
362,1200,1.1,31,15,12,-0.894736842,2.394627565
363,1200,1.1,31,15,12,-0.842105263,2.75595201
364,1200,1.1,31,15,12,-0.789473684,3.014236346
365,1200,1.1,31,15,12,-0.736842105,3.212433698
366,1200,1.1,31,15,12,-0.684210526,3.367880746
367,1200,1.1,31,15,12,-0.631578947,3.488170406
368,1200,1.1,31,15,12,-0.578947368,3.581186157
369,1200,1.1,31,15,12,-0.526315789,3.652301332
370,1200,1.1,31,15,12,-0.473684211,3.702156333
371,1200,1.1,31,15,12,-0.421052632,3.734687659
372,1200,1.1,31,15,12,-0.368421053,3.753340416
373,1200,1.1,31,15,12,-0.315789474,3.757501731
374,1200,1.1,31,15,12,-0.263157895,3.751351765
375,1200,1.1,31,15,12,-0.210526316,3.734244737
376,1200,1.1,31,15,12,-0.157894737,3.708079844
377,1200,1.1,31,15,12,-0.105263158,3.676713045
378,1200,1.1,31,15,12,-0.052631579,3.648553447
379,1200,1.1,31,15,12,0,3.6263616
380,1200,1.1,31,15,15,-1,0
381,1200,1.1,31,15,15,-0.947368421,1.823547488
382,1200,1.1,31,15,15,-0.894736842,2.358764701
383,1200,1.1,31,15,15,-0.842105263,2.693480439
384,1200,1.1,31,15,15,-0.789473684,2.940121413
385,1200,1.1,31,15,15,-0.736842105,3.121248677
386,1200,1.1,31,15,15,-0.684210526,3.26500694
387,1200,1.1,31,15,15,-0.631578947,3.377781639
388,1200,1.1,31,15,15,-0.578947368,3.466218431
389,1200,1.1,31,15,15,-0.526315789,3.534944259
390,1200,1.1,31,15,15,-0.473684211,3.586633797
391,1200,1.1,31,15,15,-0.421052632,3.619136717
392,1200,1.1,31,15,15,-0.368421053,3.639263708
393,1200,1.1,31,15,15,-0.315789474,3.649052119
394,1200,1.1,31,15,15,-0.263157895,3.648488636
395,1200,1.1,31,15,15,-0.210526316,3.637306611
396,1200,1.1,31,15,15,-0.157894737,3.618439592
397,1200,1.1,31,15,15,-0.105263158,3.597954955
398,1200,1.1,31,15,15,-0.052631579,3.578570002
399,1200,1.1,31,15,15,0,3.5591762
400,1200,1.1,31,15,18,-1,0
401,1200,1.1,31,15,18,-0.947368421,1.77453549
402,1200,1.1,31,15,18,-0.894736842,2.288951314
403,1200,1.1,31,15,18,-0.842105263,2.604994413
404,1200,1.1,31,15,18,-0.789473684,2.833140725
405,1200,1.1,31,15,18,-0.736842105,3.008576723
406,1200,1.1,31,15,18,-0.684210526,3.147534073
407,1200,1.1,31,15,18,-0.631578947,3.25502624
408,1200,1.1,31,15,18,-0.578947368,3.339279017
409,1200,1.1,31,15,18,-0.526315789,3.404306165
410,1200,1.1,31,15,18,-0.473684211,3.452989143
411,1200,1.1,31,15,18,-0.421052632,3.488626438
412,1200,1.1,31,15,18,-0.368421053,3.513392034
413,1200,1.1,31,15,18,-0.315789474,3.527212982
414,1200,1.1,31,15,18,-0.263157895,3.525855818
415,1200,1.1,31,15,18,-0.210526316,3.516726028
416,1200,1.1,31,15,18,-0.157894737,3.509462863
417,1200,1.1,31,15,18,-0.105263158,3.497059365
418,1200,1.1,31,15,18,-0.052631579,3.483461002
419,1200,1.1,31,15,18,0,3.4757437
420,1200,1.1,31,18,12,-1,0
421,1200,1.1,31,18,12,-0.947368421,1.689731474
422,1200,1.1,31,18,12,-0.894736842,2.244366353
423,1200,1.1,31,18,12,-0.842105263,2.61436047
424,1200,1.1,31,18,12,-0.789473684,2.891743121
425,1200,1.1,31,18,12,-0.736842105,3.099202633
426,1200,1.1,31,18,12,-0.684210526,3.266121252
427,1200,1.1,31,18,12,-0.631578947,3.397569799
428,1200,1.1,31,18,12,-0.578947368,3.499943862
429,1200,1.1,31,18,12,-0.526315789,3.579241529
430,1200,1.1,31,18,12,-0.473684211,3.637051818
431,1200,1.1,31,18,12,-0.421052632,3.675443021
432,1200,1.1,31,18,12,-0.368421053,3.697558062
433,1200,1.1,31,18,12,-0.315789474,3.705833541
434,1200,1.1,31,18,12,-0.263157895,3.702457028
435,1200,1.1,31,18,12,-0.210526316,3.687001216
436,1200,1.1,31,18,12,-0.157894737,3.664603348
437,1200,1.1,31,18,12,-0.105263158,3.6390715
438,1200,1.1,31,18,12,-0.052631579,3.613565046
439,1200,1.1,31,18,12,0,3.5928915
440,1200,1.1,31,18,15,-1,0
441,1200,1.1,31,18,15,-0.947368421,1.662202587
442,1200,1.1,31,18,15,-0.894736842,2.197902904
443,1200,1.1,31,18,15,-0.842105263,2.546649184
444,1200,1.1,31,18,15,-0.789473684,2.801932069
445,1200,1.1,31,18,15,-0.736842105,3.000003773
446,1200,1.1,31,18,15,-0.684210526,3.155591109
447,1200,1.1,31,18,15,-0.631578947,3.278396324
448,1200,1.1,31,18,15,-0.578947368,3.375382497
449,1200,1.1,31,18,15,-0.526315789,3.451425749
450,1200,1.1,31,18,15,-0.473684211,3.508274877
451,1200,1.1,31,18,15,-0.421052632,3.546331482
452,1200,1.1,31,18,15,-0.368421053,3.571959171
453,1200,1.1,31,18,15,-0.315789474,3.585964786
454,1200,1.1,31,18,15,-0.263157895,3.587069757
455,1200,1.1,31,18,15,-0.210526316,3.575788517
456,1200,1.1,31,18,15,-0.157894737,3.564852744
457,1200,1.1,31,18,15,-0.105263158,3.54865108
458,1200,1.1,31,18,15,-0.052631579,3.531536054
459,1200,1.1,31,18,15,0,3.5179364
460,1200,1.1,31,18,18,-1,0
461,1200,1.1,31,18,18,-0.947368421,1.606099132
462,1200,1.1,31,18,18,-0.894736842,2.115216252
463,1200,1.1,31,18,18,-0.842105263,2.445429837
464,1200,1.1,31,18,18,-0.789473684,2.691663546
465,1200,1.1,31,18,18,-0.736842105,2.875626608
466,1200,1.1,31,18,18,-0.684210526,3.023248396
467,1200,1.1,31,18,18,-0.631578947,3.140789572
468,1200,1.1,31,18,18,-0.578947368,3.233430841
469,1200,1.1,31,18,18,-0.526315789,3.305860716
470,1200,1.1,31,18,18,-0.473684211,3.361506226
471,1200,1.1,31,18,18,-0.421052632,3.403979782
472,1200,1.1,31,18,18,-0.368421053,3.433152032
473,1200,1.1,31,18,18,-0.315789474,3.4477447
474,1200,1.1,31,18,18,-0.263157895,3.45044839
475,1200,1.1,31,18,18,-0.210526316,3.445400198
476,1200,1.1,31,18,18,-0.157894737,3.44257588
477,1200,1.1,31,18,18,-0.105263158,3.433911819
478,1200,1.1,31,18,18,-0.052631579,3.425655844
479,1200,1.1,31,18,18,0,3.4186132
480,1200,1.1,31,21,12,-1,0
481,1200,1.1,31,21,12,-0.947368421,1.570947592
482,1200,1.1,31,21,12,-0.894736842,2.106801141
483,1200,1.1,31,21,12,-0.842105263,2.486033629
484,1200,1.1,31,21,12,-0.789473684,2.770183609
485,1200,1.1,31,21,12,-0.736842105,2.991119223
486,1200,1.1,31,21,12,-0.684210526,3.165418024
487,1200,1.1,31,21,12,-0.631578947,3.305447607
488,1200,1.1,31,21,12,-0.578947368,3.415324885
489,1200,1.1,31,21,12,-0.526315789,3.501232927
490,1200,1.1,31,21,12,-0.473684211,3.56571447
491,1200,1.1,31,21,12,-0.421052632,3.609704606
492,1200,1.1,31,21,12,-0.368421053,3.635437793
493,1200,1.1,31,21,12,-0.315789474,3.647532207
494,1200,1.1,31,21,12,-0.263157895,3.647099897
495,1200,1.1,31,21,12,-0.210526316,3.635210778
496,1200,1.1,31,21,12,-0.157894737,3.615145677
497,1200,1.1,31,21,12,-0.105263158,3.59488312
498,1200,1.1,31,21,12,-0.052631579,3.575277738
499,1200,1.1,31,21,12,0,3.5555634
500,1200,1.1,31,21,15,-1,0
501,1200,1.1,31,21,15,-0.947368421,1.530892764
502,1200,1.1,31,21,15,-0.894736842,2.051407938
503,1200,1.1,31,21,15,-0.842105263,2.405520523
504,1200,1.1,31,21,15,-0.789473684,2.674733022
505,1200,1.1,31,21,15,-0.736842105,2.878623248
506,1200,1.1,31,21,15,-0.684210526,3.044035498
507,1200,1.1,31,21,15,-0.631578947,3.176564994
508,1200,1.1,31,21,15,-0.578947368,3.280258869
509,1200,1.1,31,21,15,-0.526315789,3.360811018
